Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
1660,AMD Ryzen 3 1200,CPU,2017-07-27,14.0,65.0,192.0,4800.0,3100.0,GF,AMD,,,,103.55,6304,60.88,1927,18.61,65.0,96.98,4,2017,AM4,Desktop
1667,AMD Sempron 2800+,CPU,2004-08-01,90.0,62.0,84.0,63.0,1600.0,Unknown,AMD,,,,29.95,243,8.11,408,13.63,62.0,3.92,1,2008,AM2,Desktop
1668,AMD Phenom II X2 B53,CPU,2009-10-01,45.0,80.0,258.0,758.0,2800.0,Unknown,AMD,,,,,1126,,1164,,80.0,14.07,2,2009,AM3,Desktop
1669,AMD Athlon II X2 255,CPU,2010-01-25,45.0,65.0,117.0,410.0,3100.0,Unknown,AMD,,,,12.55,1163,92.67,1249,99.53,65.0,17.89,2,2010,AM3,Desktop
1675,AMD Athlon 64 3300+,CPU,2004-04-27,130.0,89.0,144.0,105.0,2400.0,Unknown,AMD,,,,,375,,477,,,,1,2009,unknown,Unknown
1678,AMD Opteron 6276,CPU,2011-11-14,32.0,115.0,316.0,2400.0,2300.0,Unknown,AMD,,,,968.46,6245,6.45,1005,1.04,115.0,54.3,8,2013,Socket G34,Server
1684,AMD FX-4320,CPU,2012-10-23,32.0,95.0,315.0,1200.0,4000.0,Unknown,AMD,,,,,3092,,1552,,95.0,32.55,2,2016,AM3+,Desktop
1701,AMD Ryzen 7 5800HS,CPU,2021-01-12,7.0,35.0,156.0,9800.0,2800.0,TSMC,AMD,,,,,20684,,3060,,35.0,590.97,8,2021,FP6,Laptop
1702,AMD Ryzen Threadripper 3970X,CPU,2019-11-25,7.0,280.0,74.0,3800.0,3700.0,TSMC,AMD,,,,2997.99,63835,21.29,2694,0.9,280.0,227.98,32,2019,sTRX4,Desktop
1708,AMD Ryzen 5 1600,CPU,2017-04-11,14.0,65.0,192.0,4800.0,3200.0,GF,AMD,,,,159.82,12314,77.05,2074,12.98,65.0,189.45,6,2017,AM4,Desktop
1709,AMD Athlon XP 1600+,CPU,2001-10-09,180.0,63.0,150.0,37.0,1400.0,Unknown,AMD,,,,,174,,265,,,,1,2009,unknown,Unknown
1710,AMD Ryzen Threadripper 3990X,CPU,2020-02-07,7.0,280.0,74.0,3800.0,2900.0,TSMC,AMD,,,,8399.69,81568,9.71,2569,0.31,280.0,291.31,64,2020,sTRX4,Desktop
1713,AMD Athlon 64 3200+,CPU,2005-04-14,130.0,62.0,,105.0,2000.0,Unknown,AMD,,,,149.95,340,2.27,568,3.79,62.0,5.48,1,2008,AM2,Unknown
1719,AMD EPYC 7642,CPU,2019-08-07,7.0,225.0,74.0,3800.0,2400.0,TSMC,AMD,,,,3684.0,67748,18.39,2155,0.59,225.0,301.1,48,2021,SP3,Server
1723,AMD Athlon 64 4000+,CPU,2004-10-19,90.0,89.0,115.0,105.0,2400.0,Unknown,AMD,,,,99.95,340,3.4,565,5.65,62.0,5.49,1,2008,AM2,Unknown
1727,AMD Ryzen 7 3700X,CPU,2019-07-07,7.0,65.0,74.0,3800.0,3600.0,TSMC,AMD,,,,367.52,22716,61.81,2680,7.29,65.0,349.48,8,2019,AM4,Desktop
1735,AMD Sempron 3100+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1800.0,Unknown,AMD,,,,65.0,298,4.58,383,5.89,62.0,4.8,1,2009,754,Desktop
1737,AMD Ryzen Threadripper 1920,CPU,2017-07-29,14.0,140.0,213.0,9600.0,3200.0,GF,AMD,,,,,22066,,2299,,140.0,157.62,12,2021,sTR4,Desktop
1751,AMD Athlon XP 1900+,CPU,2001-01-01,130.0,53.0,80.0,37.0,1600.0,Unknown,AMD,,,,45.8,203,4.44,312,6.81,,,1,2009,unknown,Unknown
1760,AMD Athlon 220GE,CPU,2018-12-21,14.0,35.0,192.0,4800.0,3400.0,Unknown,AMD,,,,129.0,4450,34.5,1984,15.38,35.0,127.15,2,2019,AM4,Laptop
1768,AMD Athlon XP 3000+,CPU,2001-01-01,130.0,68.0,101.0,63.0,2167.0,Unknown,AMD,,,,79.7,262,3.29,396,4.97,62.0,4.22,1,2009,Socket A,Desktop
1771,AMD Opteron 3320 EE,CPU,2012-12-04,32.0,25.0,315.0,1200.0,1900.0,Unknown,AMD,,,,548.0,1918,3.5,838,1.53,25.0,76.72,2,2016,AM3+,Server
1772,AMD C-30,CPU,2011-01-04,40.0,9.0,75.0,,1200.0,Unknown,AMD,,,,,178,,375,,9.0,19.83,1,2011,FT1,Laptop
1773,AMD Ryzen 7 4800HS,CPU,2020-01-06,7.0,35.0,156.0,9800.0,2900.0,TSMC,AMD,,,,,18864,,2609,,45.0,419.2,8,2020,FP6,Laptop
1786,AMD Opteron 152,CPU,2005-08-02,90.0,104.0,,106.0,2600.0,Unknown,AMD,,,,,428,,487,,104.0,4.12,1,2009,939,Server
1787,AMD Athlon XP 2000+,CPU,2002-06-10,130.0,60.0,80.0,37.0,1667.0,Unknown,AMD,,,,58.99,195,3.31,311,5.28,70.0,2.79,1,2009,Socket A,Desktop
1797,AMD Athlon II X2 280,CPU,2013-02-06,45.0,65.0,117.0,410.0,3600.0,Unknown,AMD,,,,76.89,1355,17.62,1462,19.02,65.0,20.84,2,2013,AM3,Unknown
1798,AMD Opteron 6366 HE,CPU,2012-11-05,32.0,85.0,315.0,2400.0,1800.0,Unknown,AMD,,,,343.99,4858,14.12,793,2.3,85.0,57.16,8,2014,unknown,Server
1804,AMD Athlon 64 3200+,CPU,2007-02-20,65.0,45.0,77.0,122.0,2000.0,Unknown,AMD,,,,149.95,340,2.27,568,3.79,62.0,5.48,1,2008,AM2,Unknown
1818,AMD Sempron 2800+,CPU,2001-01-01,130.0,62.0,101.0,63.0,2000.0,Unknown,AMD,,,,29.95,243,8.11,408,13.63,62.0,3.92,1,2008,AM2,Desktop
1821,AMD EPYC 7252,CPU,2019-08-07,7.0,120.0,74.0,3800.0,2800.0,TSMC,AMD,,,,381.22,19550,51.28,1992,5.23,120.0,162.92,8,2021,SP3,Server
1826,AMD Sempron 3000+,CPU,2005-02-15,130.0,62.0,144.0,69.0,1800.0,Unknown,AMD,,,,34.95,268,7.66,333,9.53,62.0,4.32,1,2008,AM2,Desktop
1832,AMD Ryzen 5 4600G,CPU,2020-07-21,7.0,65.0,,,3700.0,TSMC,AMD,,,,,15577,,2658,,65.0,239.65,6,2020,AM4,Desktop
1834,AMD Ryzen 7 PRO 2700U,CPU,2017-10-26,14.0,15.0,246.0,,2200.0,GF,AMD,,,,,7372,,2051,,15.0,491.46,4,2018,FP5,Laptop
1842,AMD Sempron 2800+,CPU,2004-07-28,130.0,62.0,80.0,37.0,1992.0,Unknown,AMD,,,,29.95,243,8.11,408,13.63,62.0,3.92,1,2008,AM2,Desktop
1844,AMD Ryzen 5 1600X,CPU,2017-04-11,14.0,95.0,192.0,4800.0,3600.0,GF,AMD,,,,169.46,12943,76.38,2183,12.88,95.0,136.25,6,2017,AM4,Desktop
1848,AMD Athlon 64 2000+,CPU,2008-06-01,65.0,8.0,77.0,122.0,1000.0,Unknown,AMD,,,,,154,,173,,8.0,19.3,1,2013,unknown,Unknown
1850,AMD Athlon 64 3200+,CPU,2004-04-27,130.0,89.0,144.0,69.0,2200.0,Unknown,AMD,,,,149.95,340,2.27,568,3.79,62.0,5.48,1,2008,AM2,Unknown
1857,AMD Ryzen 7 4800H,CPU,2020-01-06,7.0,54.0,156.0,9800.0,2900.0,TSMC,AMD,,,,,19056,,2638,,45.0,423.46,8,2020,FP6,Laptop
1858,AMD Ryzen 5 2500X,CPU,2018-10-01,12.0,65.0,192.0,4800.0,3600.0,GF,AMD,,,,,9384,,2319,,65.0,144.37,4,2019,AM4,Desktop
1869,AMD Athlon Silver 3050GE,CPU,2020-07-21,12.0,35.0,,,3400.0,GF,AMD,,,,,4545,,2016,,35.0,129.87,2,2021,AM4,Laptop
1872,AMD Athlon II X4 645,CPU,2010-09-21,45.0,95.0,169.0,300.0,3100.0,Unknown,AMD,,,,28.85,2298,79.64,1264,43.82,95.0,24.19,4,2010,AM3,Desktop
1878,AMD EPYC 7713P,CPU,2021-03-15,7.0,225.0,,,2000.0,TSMC,AMD,,,,,45860,,2736,,225.0,203.82,64,2022,SP3,Server
1879,AMD EPYC 7351P,CPU,2017-06-29,14.0,170.0,213.0,4800.0,2400.0,GF,AMD,,,,739.0,25484,34.48,1809,2.45,155.0,164.41,16,2017,SP3,Server
1881,AMD Sempron 3300+,CPU,2001-01-01,130.0,62.0,101.0,63.0,2200.0,Unknown,AMD,,,,20.0,315,15.74,394,19.68,62.0,5.08,1,2008,754,Desktop
1882,AMD Athlon XP 1500+,CPU,2001-10-09,180.0,60.0,150.0,63.0,1333.0,Unknown,AMD,,,,,167,,251,,,,1,2009,unknown,Unknown
1890,AMD Phenom II X3 720,CPU,2010-01-01,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD,,,,64.45,1466,22.74,1081,16.77,95.0,15.43,3,2009,AM3,Desktop
1895,AMD EPYC 7453,CPU,2021-03-15,7.0,225.0,,,2750.0,TSMC,AMD,,,,1799.0,53511,29.74,2580,1.43,225.0,237.83,28,2021,SP3,Server
1896,AMD Ryzen Threadripper PRO 3975WX,CPU,2020-07-14,7.0,280.0,74.0,3800.0,3500.0,TSMC,AMD,,,,4499.99,63495,14.11,2666,0.59,280.0,226.77,32,2020,sWRX8,Desktop
1897,AMD Ryzen Threadripper PRO 3945WX,CPU,2020-07-14,7.0,280.0,74.0,3800.0,4000.0,TSMC,AMD,,,,,33417,,2708,,280.0,119.35,12,2020,sWRX8,Desktop
1910,AMD Athlon 64 3400+,CPU,2004-04-27,130.0,89.0,144.0,69.0,2200.0,Unknown,AMD,,,,99.95,375,3.75,429,4.29,89.0,4.21,1,2009,754,Unknown
1912,AMD Ryzen 7 PRO 2700X,CPU,2018-09-19,12.0,95.0,192.0,4800.0,3600.0,GF,AMD,,,,,17221,,2395,,105.0,164.01,8,2018,AM4,Desktop
1915,AMD EPYC 75F3,CPU,2021-03-15,7.0,280.0,,,2950.0,TSMC,AMD,,,,,68505,,2775,,280.0,244.66,32,2021,SP3,Server
1916,AMD EPYC 7343,CPU,2021-03-15,7.0,190.0,,,3200.0,TSMC,AMD,,,,1699.99,45882,26.99,2947,1.73,190.0,241.48,16,2021,SP3,Server
1919,AMD Athlon 64 X2 3800+,CPU,2006-05-23,90.0,89.0,220.0,154.0,2000.0,Unknown,AMD,,,,,566,,745,,89.0,6.36,2,2010,939,Desktop
1920,AMD Ryzen Embedded V1756B,CPU,2018-02-21,14.0,45.0,210.0,4950.0,3250.0,GF,AMD,,,,,8215,,2143,,45.0,182.55,4,2019,FP5,"Desktop, Mobile/Embedded"
1923,AMD Ryzen 7 PRO 4750G,CPU,2020-07-21,7.0,65.0,,,3600.0,TSMC,AMD,,,,299.99,20570,68.57,2710,9.03,65.0,316.46,8,2020,AM4,Desktop
1927,AMD Athlon XP 2200+,CPU,2003-09-01,130.0,63.0,,63.0,1800.0,Unknown,AMD,,,,84.95,214,2.52,335,3.94,,,1,2009,unknown,Unknown
1929,AMD Athlon II X2 215,CPU,2009-10-20,45.0,65.0,117.0,410.0,2700.0,Unknown,AMD,,,,28.97,959,33.09,1041,35.92,65.0,14.75,2,2009,AM3,Desktop
1932,AMD Athlon 64 3200+,CPU,2001-01-01,90.0,59.0,84.0,69.0,2200.0,Unknown,AMD,,,,149.95,340,2.27,568,3.79,62.0,5.48,1,2008,AM2,Unknown
1940,AMD Athlon 240GE,CPU,2018-12-21,14.0,35.0,192.0,4800.0,3500.0,Unknown,AMD,,,,138.0,4551,32.98,1986,14.39,35.0,130.03,2,2019,AM4,Desktop
1944,AMD Athlon 64 4000+,CPU,2004-10-19,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,,,,99.95,340,3.4,565,5.65,62.0,5.49,1,2008,AM2,Unknown
1946,AMD Opteron 150,CPU,2005-08-02,90.0,85.0,,106.0,2400.0,Unknown,AMD,,,,352.94,393,1.11,471,1.34,85.3,4.6,1,2009,939,Server
1953,AMD Ryzen 7 5800X,CPU,2020-11-05,7.0,105.0,,,3800.0,TSMC,AMD,,,,333.99,28368,84.94,3485,10.43,105.0,270.17,8,2020,AM4,Desktop
1955,AMD Phenom II X3 B77,CPU,2010-05-11,45.0,95.0,258.0,758.0,3200.0,Unknown,AMD,,,,22.29,1844,82.71,1310,58.76,95.0,19.41,3,2012,AM2+/AM3,Unknown
1958,AMD Sempron 3000+,CPU,2005-10-01,90.0,62.0,84.0,63.0,1800.0,Unknown,AMD,,,,34.95,268,7.66,333,9.53,62.0,4.32,1,2008,AM2,Desktop
1963,AMD Sempron 3300+,CPU,2005-04-01,90.0,62.0,84.0,63.0,2000.0,Unknown,AMD,,,,20.0,315,15.74,394,19.68,62.0,5.08,1,2008,754,Desktop
1966,AMD Sempron 3600+,CPU,2006-05-23,90.0,62.0,103.0,81.0,2000.0,Unknown,AMD,,,,15.0,364,24.24,377,25.13,62.0,5.86,1,2009,AM2,Desktop
1968,AMD Opteron 154,CPU,2005-08-02,90.0,104.0,,106.0,2800.0,Unknown,AMD,,,,,457,,534,,104.0,4.39,1,2011,939,Server
1971,AMD Athlon 64 3800+,CPU,2007-02-20,90.0,62.0,230.0,227.0,2400.0,Unknown,AMD,,,,131.01,292,2.23,461,3.52,45.0,6.5,1,2009,AM2,Unknown
1976,AMD Athlon II X3 460,CPU,2011-05-03,45.0,95.0,169.0,300.0,3400.0,Unknown,AMD,,,,16.78,1924,114.68,1390,82.86,95.0,20.26,3,2011,AM3,Desktop
1983,AMD Phenom II X6 1065T,CPU,2010-12-07,45.0,125.0,346.0,904.0,2900.0,Unknown,AMD,,,,99.98,3320,33.2,1359,13.59,95.0,34.94,6,2011,AM3,Desktop
1986,AMD Phenom II X2 550,CPU,2009-11-04,45.0,80.0,258.0,758.0,3100.0,Unknown,AMD,,,,41.91,1169,27.89,1240,29.58,80.0,14.61,2,2009,AM2+/AM3,Desktop
1997,AMD EPYC 7513,CPU,2021-03-15,7.0,200.0,,,2600.0,TSMC,AMD,,,,2840.0,59732,21.03,2447,0.86,200.0,298.66,32,2021,SP3,Server
1998,AMD Ryzen Threadripper 2950X,CPU,2018-08-13,12.0,180.0,213.0,19200.0,3500.0,GF,AMD,,,,990.0,29981,30.28,2488,2.51,180.0,166.56,16,2018,sTR4,Desktop
2002,AMD Athlon XP 3200+,CPU,2001-01-01,130.0,77.0,101.0,63.0,2200.0,Unknown,AMD,,,,,281,,430,,62.0,4.53,1,2008,AM2,Unknown
2004,AMD Athlon 64 2600+,CPU,2008-01-01,65.0,15.0,77.0,122.0,1600.0,Unknown,AMD,,,,,243,,292,,15.0,16.22,1,2013,unknown,Unknown
2009,AMD Sempron 3100+,CPU,2004-07-28,130.0,62.0,144.0,63.0,1800.0,Unknown,AMD,,,,65.0,298,4.58,383,5.89,62.0,4.8,1,2009,754,Desktop
2021,AMD Athlon XP 1700+,CPU,2001-10-09,180.0,64.0,150.0,37.0,1467.0,Unknown,AMD,,,,51.25,176,3.44,272,5.3,64.0,2.75,1,2009,Socket A (462),Desktop
2022,AMD Opteron 254,CPU,2005-08-01,90.0,92.0,,106.0,2800.0,Unknown,AMD,,,,,451,,578,,68.0,6.63,1,2012,940,Server
2029,AMD Sempron LE-1200,CPU,2007-08-01,65.0,45.0,,,2100.0,Unknown,AMD,,,,14.95,349,23.32,551,36.89,45.0,7.75,1,2009,AM2,Desktop
2033,AMD Ryzen 5 4500U,CPU,2020-01-06,7.0,25.0,156.0,9800.0,2300.0,TSMC,AMD,,,,,11098,,2454,,15.0,739.83,6,2020,FP6,Laptop
2041,AMD Athlon 64 FX-55,CPU,2004-10-10,130.0,104.0,193.0,105.0,2600.0,Unknown,AMD,,,,65.0,404,6.22,505,7.77,104.0,3.89,1,2009,939,Desktop
2047,AMD Sempron 2200+,CPU,2004-07-28,130.0,62.0,80.0,37.0,1500.0,Unknown,AMD,,,,39.95,184,4.6,279,6.99,,,1,2009,Socket A,Desktop
2051,AMD EPYC 7282,CPU,2019-08-07,7.0,120.0,74.0,3800.0,2800.0,TSMC,AMD,,,,722.97,31631,43.75,1987,2.75,120.0,263.59,16,2019,SP3,Server
2054,AMD Athlon 64 4000+,CPU,2005-08-16,130.0,62.0,,105.0,2600.0,Unknown,AMD,,,,99.95,340,3.4,565,5.65,62.0,5.49,1,2008,AM2,Unknown
2058,AMD Ryzen 7 3800X,CPU,2019-07-07,7.0,105.0,74.0,3800.0,3900.0,TSMC,AMD,,,,248.59,23275,93.63,2735,11.0,105.0,221.67,8,2019,AM4,Desktop
2066,AMD Athlon XP 2800+,CPU,2002-10-01,130.0,74.0,80.0,37.0,2250.0,Unknown,AMD,,,,,260,,408,,89.0,2.93,1,2009,754,Unknown
2067,AMD Ryzen 7 PRO 1700X,CPU,2017-06-29,14.0,95.0,192.0,4800.0,3400.0,GF,AMD,,,,,15530,,2231,,95.0,163.47,8,2017,AM4,Desktop
2071,AMD Athlon 64 3700+,CPU,2004-05-04,90.0,89.0,115.0,105.0,2200.0,Unknown,AMD,,,,89.95,394,4.38,435,4.83,89.0,4.42,1,2008,939,Desktop
2072,AMD Ryzen 5 3550H,CPU,2019-01-06,12.0,35.0,210.0,4940.0,2100.0,GF,AMD,,,,,7994,,2078,,35.0,228.4,4,2019,FP5,Laptop
2073,AMD Athlon XP 2600+,CPU,2003-09-01,130.0,68.0,,63.0,2133.0,Unknown,AMD,,,,23.03,242,10.52,380,16.49,,,1,2008,unknown,Unknown
2075,AMD Ryzen 7 2700E,CPU,2018-09-19,12.0,65.0,192.0,4800.0,2800.0,GF,AMD,,,,,14657,,2410,,45.0,325.72,8,2019,AM4,Desktop
2079,AMD EPYC 7302P,CPU,2019-08-07,7.0,155.0,74.0,3800.0,3000.0,TSMC,AMD,,,,2069.95,32480,15.69,1878,0.91,155.0,209.55,16,2019,SP3,Server
2084,AMD Athlon XP 2700+,CPU,2002-10-01,130.0,68.0,80.0,37.0,2167.0,Unknown,AMD,,,,84.79,256,3.02,398,4.69,,,1,2008,unknown,Unknown
2086,AMD Athlon XP 2100+,CPU,2001-01-01,130.0,62.0,80.0,37.0,1733.0,Unknown,AMD,,,,63.75,210,3.3,327,5.12,,,1,2009,unknown,Unknown
2092,AMD Athlon 64 FX-55,CPU,2004-10-10,90.0,104.0,115.0,114.0,2600.0,Unknown,AMD,,,,65.0,404,6.22,505,7.77,104.0,3.89,1,2009,939,Desktop
2101,AMD Athlon 64 3400+,CPU,2005-04-14,130.0,83.0,,105.0,2200.0,Unknown,AMD,,,,99.95,375,3.75,429,4.29,89.0,4.21,1,2009,754,Unknown
2107,AMD Ryzen Threadripper 3960X,CPU,2019-11-25,7.0,280.0,74.0,3800.0,3800.0,TSMC,AMD,,,,1682.9,54757,32.54,2678,1.59,280.0,195.56,24,2019,sTRX4,Desktop
2111,AMD Sempron LE-1100,CPU,2007-08-01,65.0,45.0,,,1900.0,Unknown,AMD,,,,34.95,315,9.02,509,14.56,45.0,7.01,1,2009,AM2,Desktop
2114,AMD Sempron 3300+,CPU,2005-07-15,90.0,25.0,,69.0,2000.0,Unknown,AMD,,,,20.0,315,15.74,394,19.68,62.0,5.08,1,2008,754,Desktop
2116,AMD EPYC 7352,CPU,2019-08-07,7.0,155.0,74.0,3800.0,2400.0,TSMC,AMD,,,,1280.0,40472,31.62,1995,1.56,155.0,261.11,24,2021,SP3,Server
2119,AMD Athlon 64 3000+,CPU,2004-04-27,130.0,89.0,144.0,69.0,2000.0,Unknown,AMD,,,,20.0,303,15.13,506,25.31,89.0,3.4,1,2008,Socket 754,Desktop
2123,AMD Ryzen 3 3300U,CPU,2019-01-06,12.0,15.0,210.0,4940.0,2100.0,GF,AMD,,,,,5803,,1899,,15.0,386.88,4,2019,FP5,Laptop
2125,AMD Athlon 64 X2 3800+,CPU,2005-08-01,90.0,89.0,156.0,154.0,2000.0,Unknown,AMD,,,,,566,,745,,89.0,6.36,2,2010,939,Desktop
2127,AMD Ryzen 5 4600H,CPU,2020-01-06,7.0,54.0,156.0,9800.0,3000.0,TSMC,AMD,,,,,14735,,2461,,45.0,327.45,6,2020,FP6,Laptop
2128,AMD Ryzen 3 PRO 2300U,CPU,2019-01-08,14.0,15.0,246.0,,2000.0,GF,AMD,,,,,5982,,1853,,15.0,398.8,4,2018,FP5,Laptop
2129,AMD E-240,CPU,2011-01-04,40.0,18.0,75.0,,1500.0,Unknown,AMD,,,,,182,,385,,18.0,10.11,1,2011,FT1,Laptop
2136,AMD Athlon 64 3000+,CPU,2005-04-04,90.0,67.0,83.0,69.0,1800.0,Unknown,AMD,,,,20.0,303,15.13,506,25.31,89.0,3.4,1,2008,Socket 754,Desktop
2140,AMD Sempron 3500+,CPU,2006-05-23,90.0,62.0,103.0,81.0,2000.0,Unknown,AMD,,,,24.99,232,9.28,264,10.56,62.0,3.74,1,2009,AM2,Desktop
2144,AMD Sempron 3000+,CPU,2005-04-01,90.0,62.0,84.0,63.0,1800.0,Unknown,AMD,,,,34.95,268,7.66,333,9.53,62.0,4.32,1,2008,AM2,Desktop
2146,AMD Ryzen 9 5980HS,CPU,2021-01-12,7.0,35.0,156.0,9800.0,3000.0,TSMC,AMD,,,,,21412,,3145,,35.0,611.76,8,2021,FP6,Laptop
2150,AMD Opteron 148,CPU,2005-08-02,90.0,85.0,,106.0,2200.0,Unknown,AMD,,,,,392,,443,,85.3,4.6,1,2009,939,Server
2151,AMD EPYC 7351,CPU,2017-06-29,14.0,170.0,213.0,4800.0,2400.0,GF,AMD,,,,883.99,23566,26.66,1821,2.06,155.0,152.04,16,2019,SP3,Server
2157,AMD Athlon II X2 210e,CPU,2010-09-21,45.0,45.0,117.0,410.0,2600.0,Unknown,AMD,,,,28.49,1105,38.79,1105,38.8,45.0,24.56,2,2010,AM3,Desktop
2166,AMD EPYC 7643,CPU,2021-03-15,7.0,225.0,,,2300.0,TSMC,AMD,,,,5424.99,76455,14.09,2695,0.5,225.0,339.8,48,2021,SP3,Server
2168,AMD Ryzen 3 2200U,CPU,2018-01-08,14.0,15.0,246.0,,2500.0,GF,AMD,,,,,3686,,1681,,15.0,245.72,2,2017,FP5,Laptop
2176,AMD Opteron 4332 HE,CPU,2012-12-04,32.0,65.0,315.0,1200.0,3000.0,Unknown,AMD,,,,36.99,3906,105.59,1413,38.19,65.0,60.09,6,2015,Socket C32,Server
2180,AMD EPYC 7262,CPU,2019-08-07,7.0,155.0,74.0,3800.0,3100.0,TSMC,AMD,,,,571.95,20827,36.41,2026,3.54,155.0,134.37,8,2019,SP3,Server
2186,AMD Sempron 3000+,CPU,2005-07-15,90.0,62.0,,69.0,1800.0,Unknown,AMD,,,,34.95,268,7.66,333,9.53,62.0,4.32,1,2008,AM2,Desktop
2188,AMD Ryzen 9 4900H,CPU,2020-03-16,7.0,54.0,156.0,9800.0,3300.0,TSMC,AMD,,,,,19339,,2733,,45.0,429.76,8,2020,FP6,Laptop
